model,scheme,n_folds,mean_rmse,std_rmse,median_rmse,mean_mae,std_mae,median_mae,mean_mase,std_mase,median_mase,mean_r2,std_r2,median_r2
arima,expanding_window,8,4.835041012717126,10.451781959084345,0.35994423041707024,3.8487373169068415,7.98234329455072,0.34183561526160244,3.349583671710733,6.947090580581686,0.2975019859785277,-5.657003319898156,8.056264215029834,-2.120287316702113
arima,regime_aligned,5,7.750450346677807,4.248745629771803,7.6590643022886065,2.6029444305360987,1.6375454240487626,2.054825634552215,2.2653611938112803,1.425167519223326,1.7883294771700164,-4.030876240616477,0.05802515950675946,-4.060357232995977
lightgbm,expanding_window,8,2.496836168344456,4.470026565796041,0.501571011393405,1.9611613618004469,3.467026198721033,0.39088196770734274,1.7068127892802523,3.0173777497401484,0.3401873780388137,-6.161310179147749,8.644372720284876,-1.319555084559061
lightgbm,regime_aligned,5,3.526414152222997,1.743679757824637,3.417120839585401,1.3596715807559148,0.6231054604022088,1.1249855206107957,1.1833319218182876,0.5422931481316152,0.9790829616237301,-0.3761132731676128,0.8324847585639428,-0.0072804833927822
ridge,expanding_window,8,2.7557018474428796,4.937789295419992,0.32523339227977865,2.2253314380490545,3.7498884612353054,0.29503683794987684,1.936721900008563,3.263554804146767,0.25677267466627507,-6.012297529476245,10.475696385259305,-0.9689809144045701
ridge,regime_aligned,5,4.055645880648717,1.4719065344234494,3.649041686424859,1.6196766288558595,0.5747162992748032,1.4716324479262273,1.4096161786970793,0.5001797143859209,1.2807722669665118,-3.76299159839337,8.080165200082877,-0.183633765730999
xgboost,expanding_window,8,2.397390785115773,4.525846951649965,0.3549838055444421,1.8732785735279318,3.4910526812269342,0.3209808401763439,1.6303277687700435,3.0382881696684922,0.27935192575074297,-3.456853120704167,6.120777441143497,-0.7452625241624986
xgboost,regime_aligned,5,3.4456016577134996,1.9330992226473604,3.447838042634963,1.3137708222649673,0.7388355347516573,1.142198531811054,1.1433841627220707,0.6430138613026369,0.9940635686410196,0.06718617096202273,0.17705317710861662,-0.00727640186688272
