model,scheme,regime,n_observations,rmse_lower,rmse_upper,mae_lower,mae_upper,mase_lower,mase_upper,r2_lower,r2_upper
arima,expanding_window,Brexit Transition,8,0.22240576845403262,0.4142986456332878,0.19220227373413928,0.38652903229819735,0.16727501638977993,0.3363989871537213,-16.00728433308503,-0.49547937549755966
arima,expanding_window,COVID-19 Shock,6,8.380032344230544,39.98850655963813,6.928801983335149,33.07602024061902,6.0301860264520935,28.786297479037035,-31.941066930379773,-0.202104161012163
arima,regime_aligned,Global Financial Crisis,6,0.6388813490405723,1.2250033543980585,0.4404080641208824,1.2187014085011192,0.3832902947127134,1.0606445705385168,-15.972098259336109,0.42071763869992096
lightgbm,expanding_window,Brexit Transition,8,0.1699549027469585,0.4482945125062146,0.14852606031158838,0.40283257871070355,0.12926329481042673,0.3505880804478819,-20.28716214283458,-0.12278635384419087
lightgbm,expanding_window,COVID-19 Shock,6,3.15364148528829,16.04669823782001,2.4729623101434695,14.33467847305076,2.1522368228211084,12.475573415112438,-1.6061545409620228,0.0015064160922935166
lightgbm,regime_aligned,Global Financial Crisis,6,1.1384025402261626,2.4082492671551137,0.9590635998649816,2.35358329325942,0.8346799247971683,2.0483404088093926,-98.02745248811614,-1.8273890961516124
ridge,expanding_window,Brexit Transition,8,0.22547978484867462,0.40857788458660377,0.1945664458424104,0.3886626459080879,0.16933257232018656,0.33825588637052023,-15.31190163200917,-0.8301147482139087
ridge,expanding_window,COVID-19 Shock,6,2.4992036827357564,17.114371773592115,1.5776008955476708,15.23493591235759,1.3729973664322732,13.259073916898245,-2.2668632430684523,0.24582448059778572
ridge,regime_aligned,Global Financial Crisis,6,1.1035641457836722,2.3052809489973076,0.9318273180078614,2.2655681520073645,0.8109759934880706,1.9717402005524844,-88.01147405123429,-1.6153848212333186
xgboost,expanding_window,Brexit Transition,8,0.20207275342183798,0.4372549644279431,0.18488615361973643,0.4056703734025359,0.16090774461785937,0.35305783350732656,-20.968367727457636,-0.4653658998609618
xgboost,expanding_window,COVID-19 Shock,6,3.331411500718413,15.898600957275077,2.468903838594755,14.43546753525734,2.148704705944241,12.563290858329768,-1.596262600110077,-0.0041360403716297345
xgboost,regime_aligned,Global Financial Crisis,6,1.1801432547228243,2.394382602435193,0.9958838780721028,2.34243487248818,0.8667248768204308,2.0386378583088254,-96.70667694114044,-1.881321190583878
