model,scheme,fold_idx,n_observations,rmse,mae,mase,r2
arima,expanding_window,1,4,0.32678639488490135,0.27673782387300727,0.24084691156183227,-14.532996055544826
arima,expanding_window,2,4,0.3238755796449274,0.3038886017487673,0.26447642814312516,-0.8443145686213229
arima,expanding_window,3,4,30.205540572182386,23.069485749013072,20.07753879180319,-4.290278647577046
arima,expanding_window,4,4,6.185341802501557,5.602192283668127,4.875628096707755,-3.3962600647829024
arima,expanding_window,5,4,0.39035953625972125,0.3797826287744376,0.33052754381393035,-0.3250484134687355
arima,expanding_window,6,4,0.7520414173214595,0.7220727167502297,0.6284250606529302,-21.62265173467478
arima,expanding_window,7,4,0.16685387436764385,0.14157521832125014,0.12321392720791395,0.5105017074023125
arima,expanding_window,8,4,0.3295289245744193,0.294163513105841,0.25601261379518586,-0.7549787819179528
arima,regime_aligned,1,71,7.33366456599328,1.9518702121352456,1.69872663513477,-3.954550732517861
arima,regime_aligned,2,65,7.6590643022886065,2.054825634552215,1.7883294771700164,-4.060357232995977
arima,regime_aligned,3,38,10.009533573018025,3.2764882477587296,2.8515512053872905,-4.074366309769742
arima,regime_aligned,4,24,12.592904820175312,5.034878684938826,4.381891005663483,-4.081929329330351
arima,regime_aligned,5,18,1.1570844719138145,0.6966593732954764,0.6063076457008413,-3.9831775984684556
lightgbm,expanding_window,1,4,0.33344942590565174,0.28488474860400426,0.24793723854614708,-15.172875583535816
lightgbm,expanding_window,2,4,0.33557720393764956,0.2679044476850396,0.2331591609545567,-0.979992260265685
lightgbm,expanding_window,3,4,13.212166969712666,10.251535560866083,8.9219848737913,-0.01216992700190711
lightgbm,expanding_window,4,4,3.6011843882403025,2.9119632390852326,2.534302477702165,-0.49020729653613104
lightgbm,expanding_window,5,4,0.5529905600623127,0.44110851637785947,0.3838999033322668,-1.659117908852437
lightgbm,expanding_window,6,4,0.45015146272449724,0.340655419036826,0.29647485274536056,-7.105453575720176
lightgbm,expanding_window,7,4,1.1750240581052591,0.8824420650304595,0.7679956538660997,-23.27571933408618
lightgbm,expanding_window,8,4,0.3141452780673121,0.30879689771806984,0.2687481533041222,-0.594945547183658
lightgbm,regime_aligned,1,71,3.3080362823844083,1.1249855206107957,0.9790829616237301,-0.008097933295274862
lightgbm,regime_aligned,2,65,3.417120839585401,1.1121090887527312,0.9678765106892371,-0.0072804833927822
lightgbm,regime_aligned,3,38,4.442737359143194,1.558597895318925,1.356458919134218,0.0003328672009274003
lightgbm,regime_aligned,4,24,5.586779058856953,2.3250345573460716,2.0234942393284925,-0.0002297616690500881
lightgbm,regime_aligned,5,18,0.8773972211450287,0.677630841751051,0.5897469783157612,-1.865291054681884
ridge,expanding_window,1,4,0.3161186540169566,0.2705289252419382,0.23544326258257423,-13.535418678907972
ridge,expanding_window,2,4,0.33055456302153,0.31419949450732143,0.27345007201149135,-0.9211660507139283
ridge,expanding_window,3,4,14.488576924306553,10.961415865543877,9.539798790831703,-0.2171855405757679
ridge,expanding_window,4,4,4.189411087357456,3.770510941209031,3.2815026962740714,-1.016795778095212
ridge,expanding_window,5,4,1.8710828599047769,1.8329086842428803,1.5951935647847595,-29.443052770690766
ridge,expanding_window,6,4,0.2813575284868029,0.20166102449116985,0.1755070349667178,-2.1664823534480844
ridge,expanding_window,7,4,0.3199122215380273,0.27587418139243225,0.24009527732105881,-0.7994519470663006
ridge,expanding_window,8,4,0.2486009409109322,0.17555238776378615,0.1527845012961279,0.0011728836880675608
ridge,regime_aligned,1,71,3.397903303504127,1.1301487757844677,0.9835765796076427,-0.06361444608492306
ridge,regime_aligned,2,65,3.649041686424859,1.2358870842488825,1.0756013873155803,-0.1486491480309231
ridge,regime_aligned,3,38,4.834277829525129,1.6883412711184065,1.4693755089938352,-0.183633765730999
ridge,regime_aligned,4,24,6.12476896983971,2.5723735652013135,2.238755150601826,-0.2021431955160311
ridge,regime_aligned,5,18,2.272237613949754,1.4716324479262273,1.2807722669665118,-18.216917436603975
xgboost,expanding_window,1,4,0.35682875236847034,0.3410726979374885,0.2968380135633433,-17.520255784267512
xgboost,expanding_window,2,4,0.3153743323595517,0.25138174593448637,0.21877933519895573,-0.7487642990986023
xgboost,expanding_window,3,4,13.169912908765086,10.237096786499022,8.909418704973552,-0.005706202939521843
xgboost,expanding_window,4,4,3.8932856201597517,2.8186438634991644,2.453085956287669,-0.7417607492263949
xgboost,expanding_window,5,4,0.34001984921447553,0.3,0.26109215017064846,-0.005334763998562142
xgboost,expanding_window,6,4,0.44540133352217753,0.4422956094145775,0.38493303891029784,-6.935293916133361
xgboost,expanding_window,7,4,0.3531388587204139,0.2948489025235176,0.25660911311773715,-1.192651490784289
xgboost,expanding_window,8,4,0.3051646258162594,0.30088898241519924,0.2618658379381427,-0.5050577591850933
xgboost,regime_aligned,1,71,3.3066880950781674,1.1091133841326541,0.9652693274874635,-0.00727640186688272
xgboost,regime_aligned,2,65,3.447838042634963,1.142198531811054,0.9940635686410196,-0.025471180990670028
xgboost,regime_aligned,3,38,4.461664304892422,1.5922858674275246,1.3857778027099619,-0.008202838115758393
xgboost,regime_aligned,4,24,5.604865034014053,2.3700618743896484,2.0626818360729025,-0.006716294195389327
xgboost,regime_aligned,5,18,0.4069528119478928,0.3551944535639551,0.30912827869900533,0.3835975699788141
